2013-10-28,198.62
2013-10-29,204.79
2013-10-30,209.16
2013-10-31,205.18
2013-11-01,206.65
2013-11-02,207.76
2013-11-03,215.05
2013-11-04,231.01
2013-11-05,250.66
2013-11-06,263
2013-11-07,304.17
2013-11-08,338.66
2013-11-09,370.82
2013-11-10,350.7
2013-11-11,351.27
2013-11-12,362.81
2013-11-13,414.05
2013-11-14,425.9
2013-11-15,437.89
2013-11-16,450.26
2013-11-17,500.58
2013-11-18,703.78
2013-11-19,806.11
2013-11-20,599.65
2013-11-21,733.4
2013-11-22,780.85
2013-11-23,844.97
2013-11-24,807.36
2013-11-25,810.68
2013-11-26,928.54
